SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-017.jpg,12.76,2022:11:11 21:19:50,2022:11:12 07:42:53,SONY,ILCE-1,1/1250,2.8,26.57 m,Multi-segment,"Off, Did not fire",206.0 mm,Manual,206 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-003.jpg,12.76,2022:11:11 20:19:53,2022:11:12 07:42:27,SONY,ILCE-1,1/1250,2.8,50.1 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-015.jpg,12.76,2022:11:11 21:16:27,2022:11:12 07:42:51,SONY,ILCE-1,1/1250,2.8,10.72 m,Multi-segment,"Off, Did not fire",139.0 mm,Manual,139 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-001.jpg,12.76,2022:11:11 20:14:48,2022:11:12 07:42:25,SONY,ILCE-1,1/1250,2.8,17.09 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-014.jpg,12.76,2022:11:11 21:16:22,2022:11:12 07:42:50,SONY,ILCE-1,1/1250,2.8,20.28 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-011.jpg,12.76,2022:10:21 20:24:11,2022:10:24 09:20:19,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-005.jpg,12.76,2022:10:21 19:34:01,2022:10:24 09:21:30,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",220.0 mm,Manual,220 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-004.jpg,12.76,2022:10:21 19:30:34,2022:10:24 09:18:51,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-010.jpg,12.76,2022:10:21 20:12:31,2022:10:24 09:20:03,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-006.jpg,12.76,2022:10:21 19:34:14,2022:10:24 09:19:12,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-012.jpg,12.76,2022:10:21 20:24:15,2022:10:24 09:20:14,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221021-playoffs1/20221021-playoffs1-013.jpg,12.76,2022:10:21 20:26:33,2022:10:24 09:21:58,SONY,ILCE-1,1/1250,2.8,,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,,,Ross Harried
